Dialog_Act,Utterance
crq,So you had a period of time when you had like a lot of energy and you weren't really sleeping much
crq,Doesn't everybody do that?
id,You're also happy and felt energetic
id,I felt good. Like when I when I sleep I don't like when I sleep because it just feels wrong.
irq,And how do you feel now in comparison?
id,"I'm alright guy. All right. Just All right, right now. The government maybe get on different medication. So just all right."
crq,So not happy or sad.
cd,not sad either. It's just you In the middle
yq,Do you want to get back to that happiness
op,of course who doesn't want to get back to the happiness of their life. That's the reason why you need to finish machine
irq,Yeah. You mentioned you ordered some products online. How much did you order?
id,"um, I think I ordered probably know the exact number I ordered 236 hard drives, because 236 is the perfect number that I needed to not only cover my bedroom, so I can always be happy and if the system went down, my room was always going to be covered. But then within that 236 it also covered my house so that my family could be happy, and like my four neighbors around us so we can all be happy. And that's the reason why I'm kind of angry at my one neighbor because I was including his house in all By my grid so that he can also be happy all the time."
crq,He would have been affected by a machine.
cd,"Of course, he's the helping hand. He helped me out. He let me borrow his tools. but evidently he didn't let me borrow him this time. So just pull him out. Have another neighbor take his place."
yq,Were all those hard drives fairly expensive?
id,"I don't know. When I was up cleaning and running around the house trying to find more equipment. I found my mom's purse and I was just like, oh my god, she has a credit card in there. Oh my god, I can use our credit card. So I was using our credit card because it's trying to make her happy. And so I don't know I added the 236. They were probably 50 to $100 apiece, depending on where it could get them and I just ordered them."
irq,How'd your mother respond to that?
id,"My mom came to the hospital and was like, where are all these boxes coming from? It's like this, but I'm in my room. And she put them into my room. And then, like a week ago, she has, like, I see my credit card, and she wants to happen."
yq,Is that strange relationship?
on,"No, that's just how we have a relationship generally"
crq,"you get along, okay. "
cd,"we get along perfectly fine. Like that's, that's how we talk to each other. Like, we talk to each other minimally, because she's not in my room, so she's not happy. So anytime she does come into my room, it messes up the balance. So I get unhappy, and then I just tell her to stay out so that I can be happy and she can be happy in her own place."
crq,And you mentioned that they changed medications in the hospital.
cd,The government changed for Medications
orq,How are you feeling about taking your medications?
od,while so
crq,"Right, you you really want to get back to work on that machine."
op,"Yes, I want to be back in my happy place. "
yq,Have you found yourself as motivated these last couple weeks as you were before you're hospitalized?
on,"Now? I haven't been that motivated. Big. I know I'm going to get it done. It's just I just don't know if I'm gonna get it done today or tomorrow, but I know what's gonna get done."
crq,You still want to get that done. It's important to know.
cd,it's really important because I Can't be controlled by the government anymore.
gt,"by Jason, I'd like you to continue seeing a counselor here. If you found the counsellor to be helpful."
id,The Counselor has been okay.
gt,"But that okay, it's been okay. But we'll continue to counseling and hope that can can help you a bit. I appreciate you spending this time with me and explain what happened. "
gt,Thank you.
gc,"Jason, I don't want to be here"
gc,Im here
yq,you're good?
id,"So I've been made to come in and talk to you. because something happened on the bus. And there I may have said something to somebody and they're just like, oh, you can't say that. So they actually said, we're going to take you to jail. from jail. They just called me here."
yq,Do you know what you're charged with?
on,They didn't explain anything. The government never explains anything. They just don't want me to understand what's going on because they just want to keep me out of captivity.
irq,The government. Do you have anyone specific?
id,"nope, it's the entire government, entire government, higher government."
irq,How long have they been wanting to do this to you?
id,all my life. I've done this all my life. They they're always listening. They're always around. They're always there.
crq,always there?
cd,"always there. Like, for example, they're in the lights right now. They're listening to everything that we're talking about. So that's the reason why I really can't talk about what happened on the bus because they're just going to use that against and then it's locked me up again. I think we take more minutes."
crq,Even taking medications.
id,"Yes, I take the medication, because if I don't take the medication, government comes and takes me away and puts me into a hospital where they force me the medication. And then the lights are always on and they can always hear everything that I'm saying and what I'm thinking and what I'm going to do."
irq,Do you know what they want to do with that information?
id,"wanting us to take over the world, to take over the world, people in the world, of course, they want to use everything and use everything that everybody knows to use it against them so that they can actually have the world they want in that baby and make everybody pretend that they don't know what's going on. So therefore, they're using everybody's thoughts against themselves, so that the government can use it to their benefit."
irq,"So what can you do in a situation? Well, you said the government's monitoring everything and they want to put you in jail. If you don't take your medication, do have any options. Are you stuck?"
on,"No. So when I'm home, I think I'm perfectly fine because I set up my house in my room to actually make it government proof so that nobody can actually hear see what's going on in there. So when I'm home, I'm perfectly fine."
crq,"So one option is that being home, being home, you're safe"
cd,being home and being home I've saved my mom saved my brother's save everybody safe. And being out in the world in the world. That's a nobody safe.
yq,Are you safe here?
on,"No, I told you they are employed, and they can hear everything that we're saying right now. So no, we're not safe here."
cd,"It's just not safe here. It's not safe out in the world. At home, you're safe"
cd,"at home and safe in my room, that I mean government."
irq,"So if you could have your way you would, you would stay home most of the time all the time?"
id,"I would stay home all the time, but I can't stay home because I mean to go and see doctors and talk to people and do the things that the government needs me or wants me to do. But I don't want to do those things because she's in my thoughts and they're trying to use everybody and get sleep. I can't deal with that."
irq,"So how how do you know that they're in the lights? Like, how did you discover that?"
id,Everybody knows that they're in the light. It's common knowledge. It's common knowledge. Everybody knows that.
yq,Do you ever hear things that other people can't hear or see things that people can't see?
id,"No, of course, everybody hears the lights talking to you. I don't know what you're talking about. Like everybody hears it. Sometimes it's a whisper. For some people. Sometimes it's a yell. And if you want to not pay attention to what the lights are saying to you, then I don't know what's wrong with you, but everybody can hear it."
irq,What's the sound like to you?
id,It sounds like a robot talking. It sounds like we need to know this information we need to what do you do.
id,I'm just making some notes. Speaking some weird progress notes Does that worry you?
op,Yes. where your notes gonna go?
id,"Well, this chart will get locked in the chart room down the hall"
irq,who has access to the chart room.
id,Mostly everybody works here.
yq,Can I get a copy of your notes after you're done?
yq,Does it worry that there's notes?
op,"Yes, because I might trust you. And I don't know if I do yet. But I don't trust the other people who work here because I don't know if they're working for the government, which they probably are working for the government. So they can actually have access to all of my notes and the things that you're writing down, which I don't know what they are, because you're not going to give me a copy of it yet. And I just don't trust that they can actually get that information and because they're going to use it to their advantage and they're going to give it to the government, which I can't have that. So could you please not take notes?"
id,"I could not take notes, what kind of information and notes are you worried that the government's gonna get?"
id,"Well, because I made my room at home government proof, I think they're going to try to steal that technology when I actually create it so that they can then disrupt my room and then everybody else's rooms who are just like mine so that they can then use their mind control to then control me to do the things that they want me to do."
crq,"So without the protection that your house offers, they could control your mind."
cd,"Correct. Without my room, and without the technology and the systems and the things that I created, then the government will be able to control everything that I do."
irq,"All right. So can you tell me about your mood through all this, this sounds really stressful you're describing environment where the government's frequently Looking at what you're doing for the feelings are you feel sad or angry?"
id,I feel fine
crq,You feel fine.
cd,"I don't really have any problem Yeah, I just I feel fine. I don't feel happy. I don't feel sad. I just, I'm just here"
id,kind of resigned the government's gonna do this
id,"well, the government's gonna do what they're gonna do anyway. So it doesn't matter if I'm happy sad, pissed off angry. any of that the government's going to make me do what they want me to do anyway. So it doesn't matter how I feel."
yq,Are you worried that something is going to happen a similar will happen on the bus?
on,"No, because I've learned my lesson to not say those things out loud into to talk about what the government's doing because I can't actually inform anybody else because nobody's listening to me because They're already controlled by the government because they don't have a room like I do at home."
id,"To avoid that in the future, because it didn't really, it didn't really work. You weren't able to, to help them understand what's going on."
id,"While people don't understand what's going on, then that's their fault. that's their problem. They should have listened to me. And I could actually gave them the technology that they needed to actually create the room so that the government can't hear them."
crq,But they weren't open to that idea. 
id,No. Quite the opposite. It is completely opposite.
irq,How are your family relationships?
id,"Okay. Yeah, we live with my mom. She does that she's supposed to she doesn't go in my room because she knows that. She goes into the robots gonna mess up the technology so she stays out."
irq,So you get along through okay. Anybody else you have contact with? friends family?
id,"I talk to people all the time, but they are in my head. We have conversations all the time about how we can actually make the world a better place and then how we can actually go through and then destroy the government or do good. Just pump it up."
id,"Jason Well, I'm sorry to hear that you're under stress. I'm glad to hear your feel like it's okay. You're not down or anxious or anything. This answer these questions for me this has been helpful. And I'm going to recommend you continue to see a counselor here if that's okay. I realize your court ordered didn't come through."
id,that would be good
id,"Well, then I'll put on the schedule. We'll set a time up front, where I'll see you. Let's say in three days. That works?"
id,Three days works.
gt,"Then we'll go from there. Okay. Thanks, Jason. "
gt,Thank you.
gt,"Jackie, how are you?"
gt," Okay, How are you?"
id,thanks for asking. I see that you have signed a release so I could talk to your mother and that she brought you in today.  What's What's going on there?
id,They think I have a drinking problem. My family..
crq,your family thinks show drinking problem.
op,Yeah. So we really started this was this past weekend. They came to pick me up for my bridal shower. And I was I was drunk when they came to get me so I couldn't go and now everybody's pretty pissed at me.
crq,So they asked you to come into the agency.
cd,"Yeah, you know, I don't want them to hate me or anything. So I agreed to come."
yq,Do you believe that you have a drinking problem?
op,"I mean, I like to drink."
yq,You think It's okay?
op,Yeah. I like I like it like drinking.
yq,"Come on, you mind if I ask you a few questions related to drinking,"
op,that's fine.
irq,"So, how often do you drink now?"
id,"Pretty much every day. I drink every day on the weekends for sure. Like, during the week, I'll go to the whatever the best local happy hour is, you know, scope out what's going on. So I'll go after work and have some drinks."
irq,What about on the weekend?
id,"weekend I gotta keep to myself. still drink a little whatever I have in the house, but I don't really go out a lot of weekend mostly to stay at home and yeah, drink whatever I have there."
irq,"How much you're drinking, let's say on the weekend"
id,"it's hard to keep track of thing. Say a couple cases over maybe like two or three cases of beer throughout the weekend. If there's something on sale, you know, at the liquor store down the street, okay, I like a bottle of vodka or something to go along with it."
irq,"All right, how about during the week?"
id,"during the week, I just stayed at the bar for a few hours maybe have like, six or seven drinks and then go home."
yq,Are you drinking More than you want to?
op,"Um, I guess so. I mean, I've kind of tried to make a plan to just say on the weekends to drink some. And that hasn't really kept up because I like to go to the happy hours and stuff."
yq,"So, so you've tried to cut down before?"
on,"yeah, it's not really happening. Not really see it happening."
yq,Do you have cravings for alcohol?
op,"Um, you could say so yeah. I'm at work I want to drink and out doing stuff. I want to drink."
irq,So are you using exclusively alcohol or are there other drugs involved?
id,"Right now just alcohol and all legal stuff . I was impatient. A couple times for cocaine, but I've stopped. That's not really something I want to do anymore. So"
irq,when was the last time you're impatient?
id,"About four months ago, five months ago,"
crq,four or five months ago? And at that time you use cocaine.
op,Yeah. I was using
irq,And why did you stop using cocaine?
id,"Well, I graduated from college, I was kind of a partier in college, and then I had to get a job and it's kind of now had a fear of losing my job because of the cocaine and I'd get a drug test and stuff. So that's kind of in the back of my mind with that. So yeah. I think that the treatment helped with that."
yq,You crave cocaine?
on,"No, mostly just alcohol. Just"
yq,how about Your work are you having a trouble keeping your job or your performance your job?
on,"Um, I think I'm not doing tip top of what I could be doing but yeah, it hasn't really been a problem. I haven't been threatened to be fired or anything like that. But you know, I'll come in late every once in a while but I I sneak in so nobody notices"
irq,any social problems because of the alcohol use?
id,"Um, with my family kind of right now. Yeah. Not really getting along with them very well. My friends, though, when I go out them during the week where you get along fine, but they're just not really as fun as they used to be. So sometimes, yeah. Sometimes they want to do stuff and go to the movies or whatever. And the ello mad because I don't want to go I'd rather go party somewhere. So"
crq,you have some social problems. Not so much with your friends a little bit but more with your family
cd,"more with my family. Yeah. I mean, I guess my friends aren't that happy with me but I don't think it's a huge deal. My best friend I haven't talked to in a couple days because she she is mad at me for not coming to dinner with her the other night because I look rather drunk and I want to do that. "
yq,Have you found that you're engaging in any activities are physically dangerous because of alcohol?
op,"Um I've gotten hurt a couple times. I mean, fallen down the steps, but I'm not calling like, skydiving or anything, you know? So I did sprained my ankle a couple months ago because I fell on the steps but Okay."
yq,Do you find that you have any exacerbation of symptoms you have already? Like any medical or mental health problems made worse by the alcohol?
id,"It's a pretty healthy. Yeah, yeah."
yq,So did you notice the point after you started drinking when you had to increase the amount that you're trying to get the same effect?
op," Oh, yeah. "
irq,When did that happen?
id,"I think I kind of go through phases with it, you know, I'll drink a certain amount for a little while and then I'll notice the I'm not drunk anymore, so I'll have to drink some more."
irq,When was the last time you noticed that when you had to drink a lot more to get the same effect.
id,"Let's say like, last weekend, you know, I was Got a couple beers in my house and the few hours have passed and I drank probably like, and 12 beers and I wasn't feeling anything. So start drinking a little faster and let us start, you know, feel a little better."
irq,How about withdraw? Do you have any symptoms of withdrawal when you stop drinking? Like physical symptoms anxiety?
id,"I mean, I want some more. For sure. craving"
yq,"Ok, Jackie, are you open to seeing a counselor here at the agency?"
op,"I think that's what my mom really wants. So, so maybe they'll try it out once or twice and see what happens but I guess to make her happy."
id,So you are not sure what to try it out. Yeah. I'll get you scheduled to see a counselor. I want to thank you for telling me about what's going on and for answering my questions. It's been helpful.
gt,"Yeah, sure."
gt,"Okay, thanks for asking. I understand you've been having some difficulties that have facilitated you come into our agency."
id,"Yeah. Well, I mean, I've been drinking a lot more than usual, but it's kind of just part of my life. But I don't know, I think there is an increase. So it's, that's worrying me a little bit."
cd,"so you feel like you're, you're drinking more than usual. How much are you drinking now?"
id,"I'm gonna go out with my friends a couple nights a week. Then about once or so we go out with my co workers. So yeah, maybe three, four nights a week,"
crq,three or four nights a week? 
cd,Yeah
irq,And how much are you drinking each time to go?
id,"Um, you know, kind of depends on who I'm with. But usually when I go out my friends on the weekend, I'll stay for a pretty long time. I mean, I think the problem is when we're going out during the week with my co workers, you know, I'll stay longer than I want to, and then when I have to get up in the morning, it's kind of like I should have gone check out a little earlier, but now they're all out with me. So when I get there, they understand."
irq,"Alright, so do you know how much alcohol you consume in the time period. Do you know how much you're actually drinking?"
id,"Each night we approximately I used to drink, like, maybe two beers an hour, but they really like to party so and I was trying to keep up with him. So, friends, yeah. And so I've been drinking like a shot with the beers I have. So maybe like three or four drinks an hour."
irq,So do you find that you need to drink more to get the desired effect?
id,"Um, yeah, you know, everyone else is getting to that level. So I feel like I need to keep up with them. And usually before I would get that from maybe one or two drinks. So now, I've been working a little bit more, I think,to get there. "
irq,Have you made any attempts to cut down on consumption?
id,"You know, at the beginning of the week, I'll kind of say I'm only going to go out twice this week. But then they invite me and I'm like, Well, I don't want to miss out or my, my friends, you know, it's my show my social time during the week, so so I usually go, they don't really stick to the plan. So that's kind of been a little frustrating, but I know it's still good."
irq,"It's okay. So, I want to talk about the time you spend using alcohol. Are you are you okay with the amount of time you mentioned that you're using for longer periods? But are you okay with? Or is that something that's distressing you?"
id,"Um, I think I could probably be doing better things with my time, but it's not a huge problem. I think a lot of people do it. So you know."
yq,Do you find that you have a craving for alcohol?
op,"Yeah, yeah. I would say like, one of the work just Ready to get finished so I can go go to happy hour with my co workers or, you know, from just kind of at a barbecue or something with family. Think about how I want to be here. So yeah, great things, but no, everyone kind of does that. Like I could go for a beer right now."
crq,"So you're thinking about it, but you also like feeling the craving."
op,"Yeah, yeah, yeah. Yeah."
irq,"You mentioned work, you're having trouble with responsibilities at work or any other area?"
on,"No, my work life has been pretty going pretty well. I haven't missed work because of it or anything like that. So because of the drinking."
yq,Have you had any social problems due to the alcohol?
on,"No, I think my social life is actually great because of it. You know, hang out with my friends and you'll get along really well. So that's my social time."
crq,All right. So no social problems. 
cd,"Yeah, no problems."
yq,Have you had to give up any important activities because of the alcohol use?
on,"activities? Well, usually the important activities involve drinking so that I haven't given up important activities that don't involve drinking. But that's been pretty easy because there's usually alcohol at that point."
irq,You haven't missed any important activities. How about engaging in activities that are physically dangerous?
id, Because I'm also involved now and I'm usually pretty safe. Yeah. So
yq,Do you have any medical or mental health history?
op,"Um, well, like when I was a kid, I was diagnosed with I think, maybe ADHD or something like that, but I think I teachers were annoyed by me because I was just like, damn good time. So but that's why Got an issue lately"
crq,some issue now? Has any medical problem or mental health problem become worse because of alcohol?
on,"Um No, I started drinking after that so not now it's not become an issue with that."
yq,So you mentioned the alcohol use. Has there been any drug use?
on,"No, not with my drinking or anything you know, typical teenage smoking marijuana and stuff when I was younger, but I don't anymore so."
crq,So it's just alcohol?
cd,"Yeah, just alcohol."
yq,"All right. When you stopped drinking, do you have any physical symptoms or anxiety any symptoms of withdrawal?"
on,No. usually feel fine afterwards. I can go a few days without okay.
ack,"Okay, so that's not a problem. All right. Jackie, open to Receiving counseling services or agency? "
op,"Yeah, let's see why it would hurt anything. I don't really need it but it was okay with trauma,"
gt,"I think okay, okay. All right. I'm gonna get you scheduled in to see a counselor. I want to thank you for telling me about what's going on for answering my questions. It's been helpful."
gt,Yeah. Thank you.
gt,"Hi Chucky, How are you doing ?"
gt,I'm doing good. What about you?
irq,Yeah me too thanks for asking. I understand you've been having some difficulties that brought you in to our agency.
id,"Yeah, I'm really worried about my drinking."
irq,You're worried about your drinking. Tell me about your drinking.
crq,"So sometimes at work, you've been having cravings for alcohol and the other There are times when you will have a craving?"
id,"Yes, kind of at home, you know, not really doing anything for a period Hmm."
irq,"So other than that feeling of having the craving, is there anything you do after you have a craving?"
id,"Um, yeah, sometimes I'll, I'll have a drink. And I just feel like I want to get into it."
irq,How much do you drink?
id,Like a beer or two.
yq,Is this when you work in a day? 
on,No
yq,"So when you're having cravings at work, you're not drinking there?"
on,"No, no."
irq,Right. So tell me about your typical alcohol consumption week.
id,"Like Do on Fridays after work, you know, after a long week, that's kind of when I really crave it. Like, go have a drink with some friends. I'll have a drink sometimes with dinner. If I'm at a social event, kind of feel like I want to have a drink, and I don't really want to feel that way. I feel like that might be a problem."
crq,You're worried that the craving is indicating you have an alcohol problem?
op,Yeah.
yq,Have you ever tried to cut down your drinking and you're unable to do so?
id,"Um, well, I mean, usually I'm, I'm able to limit my days if I say I'll just going to go to a party this weekend. I'll have one and then Yeah, usually I can stick to it, too, I guess."
irq,You spend a lot of time trying to obtain alcohol.
on,"Um, no, I, I guess not. I've I mean, I think about where I want to have a craving I think about like, when I want to have it, but I don't really spend a lot of time thinking about it or trying to get it."
yq,How about in terms of your responsibilities? Have you failed to uphold any responsibilities because you're drinking? Or you have any social problems because you're drinking.
on,"Well. No, I guess not. I mean, I get really friendly when I have a drink. So I don't really think that's a problem. But you know, I guess not."
irq,It doesn't cause social problems. Do you find yourself giving up important activities because you're drinking instead?
crq,"So thinking about it, maybe still some craving, but you're still going. You're still participating."
op,Yeah.
yq,Are you engaging in activities that are dangerous?
on,"Because of the drinking, no."
yq,Drinking and driving?
on,"Well, no."
crq,There's nothing like that. Yeah.
cd,No. I wouldn't say worse. No.
yq,Do you have any medical or mental health problems in general?
on,No.
yq,Do you find that you have to increase the amount of alcohol you're drinking to get the same effect?
on,No.
yq,"all right, and you've been drinks you save a drink about the same amount each time you drink. Have you noticed that the effect has been diminished, like you're not getting the same effect from the alcohol?"
id,I usually feel the same.
yq,"Goes same way. Yeah. Have you ever noticed any symptoms when you stop drinking, like withdrawal?"
crq,What do you mean by withdrawal?
cd,"Like when you stop using alcohol, are you finding that you're anxious, depressed, you have physical reactions like that. "
on,No.
gt,"Okay, Jackie, I appreciate you. Tell me about what's going on and answer my questions. If you're okay with it, I'll get you in to see a counselor. I'll get that scheduled. And we can go from there."
gt,"Okay, thank you very much."
gt,"Jackie, you all right? "
on,been having a rough time.
crq,been having a rough time?. I understand there have been some difficulties lately to push into the agency. Tell me what's going on.
id,"Um, you know, about a week ago, I went out with some friends to a boxing match and I didn't really want to go I've never I've never really been to one. It's not really something I'm interested in. But I was just hanging out with my friends and stuff. Yeah, I watched a few fights in this this one fight sky. He nothing was really happening. I wasn't really into it. But this guy got knocked out right in front of me. It was really close to The ring got knocked out right in front of me fell right on his face. And I just saw him lifeless in front of me. And I just never said sons have been saved. I had to leave right away. I just couldn't. Couldn't be there anymore."
irq,"And what did you notice right away so, so one of the boxers was sounds like knocked out a noose. You saw that. What did you notice right away was happening."
id,"I just felt really, really scared. You know, my heart started racing. I kind of didn't really know. I couldn't focus on what was going on around me. I just had to get out there. So you know, I don't even really know what happened to him if he was okay or not. So I just couldn't handle how I was feeling so I had to leave"
crq,"So you left and the symptoms, they continued."
cd,"Yeah, pretty much daily for the past week. I got home that night. I couldn't sleep You know, it took me almost all night to fall asleep and then at work on Monday, I was having a lot, a lot of problems there."
irq,What was that about?
id,"I couldn't focus on anyone was talking to me at a meeting on Tuesday. And my boss was you know, talking for a while and I just, I felt like I couldn't concentrate at all you know, everything is kind of just a blur around me."
crq,"I do find that you're having memories of the, the incident of the boxing match that are Kind of intrusive."
op,"Yeah, I think about it a lot. Pretty much all the time."
gc,But I suppose some for you. 
id,"Yeah if I'm at work trying to get some paperwork done or something, it just pops in my mind and I can't make it go away. "
irq,"And you try but you Yeah, remember any dreams related to it?"
id,I haven't really been dreaming about it barely sleeping
irq,any times when you feel like you're reliving what you saw like you're seeing it again.
on,No not really just think about it a lot
irq,Does anything keep reminding you of the boxing match? And then that's causing you to have symptoms?
id,"Yeah. With my meeting, people started clapping. You know was big cheering and That kind of made me feel really, really bad again, my heart was racing, start sweating and just kind of reminded me of being there and start thinking about it again. So, things like that, you know, pump up music when it comes on the radio, same kind of music they played there. Kind of makes you feel the same way my heart starts to race. It just kind of feel like I need to get away from it."
irq,"Do you find yourself working to avoid like, music too similar?"
op,Yeah. I've been trying to avoid the radio because you never know what's going to come on on the radio. So I've been avoiding listening to music in case something like that happens and putting crowds
yq,Do you find that you've had any trouble remembering what happened?
on,"No, I can. I can pretty vividly remember it. It's pretty clear to"
yq,you Have you been irritable at all since the incident?
op,"Yeah, you know, just out of nowhere. Something doesn't go the way I wanted to I just kind of snap on people. And that's not like me at all. I usually am pretty easygoing. And, you know, people, my boyfriend, for instance, right? I yelled at him the other day for not putting the toilet paper on the roll. And that's not something I'd usually care about. It's just, it's not me."
irq,"How about your awareness level of what surrounds you? Do you find that your awareness level has increased that you're, you're more aware?"
id,"kind of depends. Sometimes I kind of feel like I'm in a daze and don't really know what's going on around me. But um, I've been one of the students that I work with the the pop up out from behind the door, which he would do all the time. And you know, typically, I would laugh and think it was funny before but he did the other day and I just could not control myself afterwards. Like, I couldn't calm myself down. You know, I didn't think was funny at all. It really, really scared me. And that went on for about 1015 minutes and I just my heart was racing. I had to go take a walk and just really hard to relax and after that,"
yq,so you feel like your reaction to that was stronger than it normally would have been?
op,Definitely.
yq,Have you used drugs or alcohol recently? 
on,"No, no"
yq,Any medical problems?
on,No
id,"So Jackie, I'm going to get you in to see a counselor here at the agency if that's something that you're okay with."
hp,"Yeah, I think that would be really helpful."
id,"Just take a couple days to get you on to get you in to see somebody to get you on the scheduling agenda, see somebody and I'll get that arranged. "
gt,"Okay, thanks"
irq,"Well, how can I help you today? "
id,I'm exhausted and shattered the whole time. And I'm fed up. I'd like you to do something.
irq,And how long has this been going on for?
id,"about six months, and I've been in loads of times, I've seen lots of different doctors. I've had scans and blood tests that you name it, and nobody can find out that they will. Nobody can see there isn't anything wrong with me. The last doctor I saw, so it was all in my mind. "
irq,I see. Perhaps we can start by getting a fairer understanding of what's been happening. What is the main problem for you?
